Buyer State,Buyer County,Year,Total_MME
FL,MARION,2015,467784.052818688
FL,MARTIN,2006,176801.831084489
FL,MARTIN,2007,187290.252035716
FL,MARTIN,2008,193408.9799323825
FL,MARTIN,2009,223706.41149242775
FL,MARTIN,2010,501673.902588948
FL,MARTIN,2011,243418.3151067105
FL,MARTIN,2012,197761.83963205898
FL,MARTIN,2013,181287.326491881
FL,MARTIN,2014,168293.266087203
FL,MARTIN,2015,176562.401955393
FL,MIAMI-DADE,2006,1512967.6533128864
FL,MIAMI-DADE,2007,755030.2347554361
FL,MIAMI-DADE,2008,929624.7262971151
FL,MIAMI-DADE,2009,1373164.9904376946
FL,MIAMI-DADE,2010,11856782.871573776
FL,MIAMI-DADE,2011,5944476.883304485
FL,MIAMI-DADE,2012,2035667.2213252366
FL,MIAMI-DADE,2013,5162650.818235578
FL,MIAMI-DADE,2014,3173068.20030126
FL,MIAMI-DADE,2015,929426.0829621712
FL,MONROE,2006,86569.10329246835
FL,MONROE,2007,91362.82335432415
FL,MONROE,2008,96335.5500288247
FL,MONROE,2010,244017.004618814
FL,MONROE,2011,119752.775719623
FL,MONROE,2014,82359.9064559585
FL,MONROE,2015,85130.790574324
FL,NASSAU,2007,75630.379146752
FL,NASSAU,2008,84968.3397709655
FL,NASSAU,2009,95723.62368038324
FL,NASSAU,2010,217641.5853739665
FL,NASSAU,2011,125282.325436586
FL,NASSAU,2012,122928.1646927195
FL,NASSAU,2013,113259.897520481
FL,OKALOOSA,2006,144441.37325910074
FL,OKALOOSA,2007,148883.24123368764
FL,OKALOOSA,2008,164093.06987298574
FL,OKALOOSA,2009,178351.85469143098
FL,OKALOOSA,2010,386929.112024803
FL,OKALOOSA,2011,222129.30029041573
FL,OKALOOSA,2012,228799.3084943145
FL,OKALOOSA,2014,247194.1871385515
FL,OKALOOSA,2015,249095.760520766
FL,OKEECHOBEE,2008,57752.806491351
FL,OKEECHOBEE,2011,83254.187764881
FL,OKEECHOBEE,2012,66311.0994213615
FL,OKEECHOBEE,2015,62292.9769872055
FL,ORANGE,2006,5668626.472891167
FL,ORANGE,2007,4559762.194293446
FL,ORANGE,2008,5972097.485906474
FL,ORANGE,2009,5173520.437671622
FL,ORANGE,2010,12489694.269626023
FL,ORANGE,2011,5596588.7898399
FL,ORANGE,2012,6598768.898411267
FL,ORANGE,2013,8406889.994076187
FL,ORANGE,2014,8389032.81687328
FL,ORANGE,2015,7724857.662738664
FL,OSCEOLA,2006,127389.80331149625
FL,OSCEOLA,2007,146396.64429351964
FL,OSCEOLA,2008,171147.66804969584
FL,OSCEOLA,2009,314176.1745701932
FL,OSCEOLA,2010,771713.061356967
FL,OSCEOLA,2011,298537.641845773
FL,OSCEOLA,2012,260333.6014848455
FL,OSCEOLA,2013,231006.77316124
FL,OSCEOLA,2014,233719.671211996
FL,OSCEOLA,2015,271319.9193875435
FL,PALM BEACH,2006,34338790.02870829
FL,PALM BEACH,2007,19175117.76501339
FL,PALM BEACH,2008,19567284.08629999
FL,PALM BEACH,2009,20829078.33606246
FL,PALM BEACH,2010,22726128.706228554
FL,PALM BEACH,2011,12611973.532747809
FL,PALM BEACH,2012,5678792.843764146
FL,PALM BEACH,2013,2731082.587912286
FL,PALM BEACH,2014,2955046.06470568
FL,PALM BEACH,2015,1500585.8492948401
FL,PASCO,2006,1271871.7192289326
FL,PASCO,2007,788393.787524347
FL,PASCO,2008,901532.5692346162
FL,PASCO,2009,1001673.127260396
FL,PASCO,2010,2442926.16638574
FL,PASCO,2011,1202043.0003526094
FL,PASCO,2012,893607.0683278528
FL,PASCO,2013,776059.3279635415
